"Rows from: Opened Jobs","Company Name","Job Title","Location","Company Domain","Job LinkedIn Url","Post On","Update People Search (Find people Table) - 2025-07-31T06:55:34.080Z","Update People Search (Find people Table) - 2025-07-31T07:20:53.620Z"
,"University Mechanical & Engineering Contractors, Inc. (CA)","Pre-Construction and Marketing Coordinator","El Cajon, CA","umec-ca.com","https://www.linkedin.com/jobs/view/pre-construction-and-marketing-coordinator-at-university-mechanical-engineering-contractors-inc-ca-4269261465","2025-07-24T02:14:02.000Z",,
,"University Mechanical & Engineering Contractors, Inc. (CA)","Project Coordinator","El Cajon, CA","umec-ca.com","https://www.linkedin.com/jobs/view/project-coordinator-at-university-mechanical-engineering-contractors-inc-ca-4269262405","2025-07-24T02:14:02.000Z",,
,"VCA Structural","Structural Design Engineer","Orange, CA","vcastructural.com","https://www.linkedin.com/jobs/view/structural-design-engineer-at-vca-structural-4270280405","2025-07-21T16:41:46.211Z",,
,"VEC","VDC Manager - Coordination Management","San Francisco, CA","vec-us.com","https://www.linkedin.com/jobs/view/vdc-manager-coordination-management-at-vec-4269687452","2025-07-24T20:30:50.558Z",,
,"VIATechnik","Senior VDC Engineer","New York, NY","viatechnik.com","https://www.linkedin.com/jobs/view/senior-vdc-engineer-at-viatechnik-4275469041","2025-07-24T12:00:00.000Z",,
,"VIATechnik","Electrical Team Lead","Chicago, IL","viatechnik.com","https://www.linkedin.com/jobs/view/electrical-team-lead-at-viatechnik-4276440920","2025-07-24T12:00:00.000Z",,
,"VIATechnik","Senior VDC Manager","Denver, CO","viatechnik.com","https://www.linkedin.com/jobs/view/senior-vdc-manager-at-viatechnik-4275470898","2025-07-24T05:37:33.619Z",,
,"Webber, a Ferrovial company","Webber - Fueler - HEavy Civil","Greer, SC","wwebber.com","https://www.linkedin.com/jobs/view/webber-fueler-heavy-civil-at-webber-a-ferrovial-company-4275738539","2025-07-25T17:33:33.248Z",,
,"Webber, a Ferrovial company","Webber - Field Engineer - Heavy Civil","Savannah, GA","wwebber.com","https://www.linkedin.com/jobs/view/webber-field-engineer-heavy-civil-at-webber-a-ferrovial-company-4242893513","2025-07-24T12:00:00.000Z",,
,"Webber, a Ferrovial company","Webber - Carpenter - Heavy Civil","Frisco, TX","wwebber.com","https://www.linkedin.com/jobs/view/webber-carpenter-heavy-civil-at-webber-a-ferrovial-company-4277407588","2025-07-29T00:31:49.369Z",,
